"","logFC","logCPM","LR","PValue","FDR"
"YLR154W-A_mRNA",-0.211159084969082,14.5789745874589,0.235761747692946,0.627284103370952,0.724928567641181
"YMR008C_mRNA",0.124664236258408,6.15025770658475,0.235448669761482,0.62751282597396,0.725031183373292
"YGL149W_mRNA",-0.183508415912637,4.39426497649482,0.235140825315042,0.627737908455627,0.725031183373292
"YPL136W_mRNA",-0.237550984765413,2.47595569775646,0.235032497053545,0.627817156659666,0.725031183373292
"YHR064C_mRNA",0.102464180574218,6.2504121703763,0.234790594347302,0.62799420352198,0.725031183373292
"YFR024C-A_mRNA",0.0946890948542747,5.43152597886956,0.234758876439185,0.628017425982696,0.725031183373292
"YML095C_mRNA",0.144578150098399,2.84633650612761,0.234501432112964,0.628205987127483,0.725031183373292
"YOR300W_mRNA",0.304042226974881,2.13332475759224,0.234439222497816,0.628251570772736,0.725031183373292
"YPR180W_mRNA",-0.116073997059586,4.57686512369172,0.232361331600871,0.629778437597745,0.726648073424805
"YIL132C_mRNA",-0.177141966686448,2.17377500909012,0.231350921135042,0.630523945065213,0.727362953204848
"YJL110C_mRNA",-0.0931999438619592,4.60161223912689,0.231173026676783,0.630655407744977,0.727369336089255
"YMR258C_mRNA",0.104403090503846,4.07548399812967,0.230941464987942,0.630826623431093,0.727421556585744
"YLR260W_mRNA",0.0978864851632554,4.91548024422188,0.23060351626383,0.631076690948639,0.727564664055756
"YOR122C_mRNA",-0.0814958327435302,7.14390139347506,0.230255434523922,0.631334492307913,0.727597601327336
"YBR141C_mRNA",0.193162993840838,2.54545670214798,0.230074626024068,0.631468499944231,0.727597601327336
"YPL172C_mRNA",-0.101154812306917,4.38474294563276,0.230006976774898,0.631518655365983,0.727597601327336
"YMR023C_mRNA",0.127087764986746,3.9428950556934,0.22988496730901,0.631609136609291,0.727597601327336
"YDR485C_mRNA",0.194131161620247,6.46265915440163,0.229711167353605,0.631738076273059,0.727601022642709
"YKL187C_mRNA",0.167651840859164,2.87418183852967,0.229273193414121,0.632063269022188,0.727748852478799
"YBL063W_mRNA",-0.112693578203103,4.90577008063004,0.229198966533681,0.632118419821007,0.727748852478799
"YOL060C_mRNA",-0.09781126304252,6.08201174198072,0.228985823130944,0.632276847061191,0.727786183464616
"YAL058W_mRNA",-0.200937374080431,2.87340483271734,0.228570954147822,0.632585474823922,0.727880627984534
"YHR132W-A_mRNA",0.108436366855902,4.61084597640525,0.228536752140685,0.632610933601517,0.727880627984534
"YMR159C_mRNA",0.239047092631597,2.01549679856763,0.228316718065457,0.632774775254697,0.727894903169256
"YPL264C_mRNA",0.13985379608231,4.22732198562401,0.228181671573161,0.632875381529779,0.727894903169256
"YNR008W_mRNA",-0.105050837361871,4.29537340820199,0.227691691160304,0.633240712025804,0.728151210664581
"YKL111C_mRNA",0.164218062083525,3.43215490204585,0.227427039849284,0.633438237399245,0.728151210664581
"YJL099W_mRNA",-0.147580239798321,3.86046191224313,0.22737589592689,0.63347642548295,0.728151210664581
"YML019W_mRNA",0.1563177100608,3.21936605024983,0.226207306896745,0.634350425895493,0.728914550947906
"YMR223W_mRNA",-0.119958055541437,3.54417718852985,0.225996831756989,0.634508136601913,0.728914550947906
